ItemID,Weight,Value
1,72,691.48
2,22,968.93
3,37,182.21
4,87,264.28
5,47,247.81
6,29,935.83
7,41,254.71
8,37,161.36
9,63,859.93
10,10,125.26
11,18,304.75
12,57,684.87
13,84,191.21
14,83,353.76
15,17,642.66
16,89,645.72
17,77,602.53
18,38,191.73
19,98,699.88
20,91,453.19
21,89,411.21
22,19,753.91
23,1,488.0
24,13,347.11
25,88,514.2
26,83,902.3
27,44,379.07
28,39,601.53
29,17,307.36
30,6,868.01
31,58,758.23
32,41,464.23
33,96,915.35
34,4,276.14
35,54,795.74
36,9,412.85
37,6,544.3
38,97,998.69
39,81,134.76
40,75,341.2
41,22,644.85
42,9,362.85
43,57,142.97
44,95,626.27
45,25,469.32
46,87,971.06
47,14,912.81
48,27,343.48
49,48,736.47
50,66,910.71
51,30,137.53
52,96,311.47
53,78,588.89
54,68,385.9
55,65,796.57
56,11,755.18
57,27,184.84
58,39,935.53
59,35,504.8
60,12,142.43
61,1,386.15
62,80,493.04
63,13,315.27
64,12,453.24
65,100,224.51
66,92,754.52
67,99,957.29
68,4,320.89
69,31,123.45
70,58,672.36
71,69,195.3
72,59,230.83
73,76,239.88
74,73,744.61
75,7,788.94
76,83,810.27
77,34,608.99
78,97,133.62
79,72,147.54
80,72,204.78
81,26,475.06
82,66,599.84
83,38,468.88
84,36,297.21
85,30,318.39
86,27,724.51
87,93,980.62
88,52,637.76
89,20,675.37
90,35,926.76
91,95,776.35
92,32,759.24
93,94,269.34
94,21,229.05
95,92,479.89
96,5,848.67
97,33,933.0
98,8,962.54
99,19,549.39
100,29,389.08
101,33,411.3
102,88,338.59
103,84,944.71
104,84,207.59
105,47,212.85
106,54,271.59
107,59,500.82
108,9,990.65
109,93,212.0
110,26,885.3
111,58,321.45
112,38,561.24
113,8,931.6
114,95,730.04
115,42,414.54
116,10,137.53
117,38,255.83
118,86,814.73
119,82,674.75
120,100,870.17
121,70,614.37
122,25,995.75
123,14,214.03
124,1,337.23
125,38,218.9
126,42,414.92
127,74,720.35
128,10,509.6
129,71,314.67
130,76,318.47
131,24,299.69
132,21,280.61
133,33,286.52
134,52,103.61
135,11,554.93
136,25,962.59
137,17,308.71
138,83,147.55
139,54,793.78
140,55,767.21
141,37,440.99
142,98,372.36
143,48,656.76
144,47,661.71
145,63,829.58
146,60,969.37
147,13,709.67
148,15,173.95
149,30,793.34
150,37,753.54
151,7,469.74
152,50,882.81
153,99,102.66
154,81,536.77
155,48,746.27
156,99,231.11
157,99,381.95
158,64,374.48
159,89,964.98
160,80,983.87
161,78,393.15
162,61,652.22
163,2,798.4
164,29,576.71
165,20,132.22
166,95,438.7
167,82,337.87
168,11,657.06
169,9,681.8
170,36,211.19
171,83,123.01
172,67,543.14
173,98,960.82
174,23,689.28
175,77,829.79
176,65,454.41
177,30,151.24
178,95,461.76
179,33,995.39
180,64,233.37
181,40,932.46
182,90,234.28
183,44,720.26
184,80,176.53
185,16,479.71
