ItemID,Weight,Value
1,51,648.4
2,6,734.79
3,8,370.29
4,17,240.19
5,6,364.6
6,24,988.05
7,67,389.94
8,18,796.61
9,55,359.61
10,9,376.14
11,6,244.24
12,60,359.55
13,36,275.64
14,44,619.32
15,59,365.25
16,71,571.96
17,75,244.84
18,72,141.69
19,88,690.19
20,28,943.05
21,73,630.81
22,69,728.77
23,85,823.17
24,6,179.93
25,32,840.24
26,63,924.89
27,76,436.2
28,37,314.63
29,29,650.68
30,70,975.35
31,78,345.28
32,32,107.34
33,98,131.94
34,48,823.68
35,75,345.91
36,23,124.93
37,18,376.95
38,62,609.46
39,92,934.84
40,9,592.48
41,54,741.32
42,7,201.05
43,52,983.86
44,31,904.26
45,10,564.23
46,14,360.7
47,50,808.51
48,35,883.26
49,12,850.75
50,64,522.39
51,98,106.83
52,4,630.77
53,85,103.11
54,52,403.79
55,14,402.63
56,24,615.88
57,94,289.33
58,26,295.26
59,21,761.95
60,18,161.36
61,28,135.91
62,29,823.76
63,81,647.14
64,93,145.38
65,41,967.63
66,79,628.55
67,96,571.29
68,84,721.17
69,33,464.88
70,77,776.0
71,58,815.15
72,100,855.85
73,63,346.26
74,5,577.99
75,73,383.44
76,61,357.45
77,44,175.81
78,67,686.21
79,93,137.29
80,18,846.36
81,56,961.13
82,83,480.99
83,73,430.49
84,12,164.6
85,98,754.62
86,29,186.56
87,22,406.43
88,19,345.89
89,97,672.45
90,96,997.56
91,56,332.77
92,41,739.44
93,42,334.93
94,56,399.87
95,86,519.61
96,64,185.24
97,65,496.99
98,23,294.54
99,21,212.21
100,30,724.21
101,10,451.01
102,24,351.1
103,89,388.5
104,98,701.0
105,51,723.83
106,34,447.81
107,46,871.56
108,88,634.83
109,71,152.64
110,9,745.72
111,35,161.46
112,8,887.76
113,18,727.55
114,1,881.08
115,17,602.46
116,81,224.99
117,81,750.23
118,24,303.5
119,52,421.17
120,33,730.87
121,2,131.48
122,46,533.26
123,24,192.58
124,96,956.49
125,33,914.13
126,76,223.51
127,10,192.48
128,72,227.22
129,48,657.76
130,11,180.41
131,79,336.12
132,60,623.91
133,84,365.75
134,46,561.08
135,48,943.33
136,35,642.38
137,51,844.04
138,50,909.43
139,69,190.17
140,63,456.71
141,82,307.9
142,55,438.22
143,75,227.83
144,52,497.86
145,7,224.47
146,80,662.57
147,15,372.09
148,84,643.92
149,33,906.35
150,13,192.71
151,77,104.33
152,32,694.72
153,41,763.57
154,82,210.65
155,11,361.31
156,41,417.88
157,29,742.02
158,60,279.4
159,99,454.17
160,1,172.57
161,45,978.49
162,76,213.37
163,38,824.23
164,43,368.75
165,93,274.07
166,9,885.18
167,95,916.64
168,75,871.69
169,20,804.22
170,78,414.86
171,28,954.45
172,95,811.98
173,95,386.5
174,31,123.43
175,56,435.49
176,34,264.59
177,26,487.9
178,85,443.93
179,22,636.52
180,80,314.74
181,51,114.72
182,93,778.97
183,85,323.74
184,25,455.31
185,39,645.04
186,37,795.95
187,53,330.83
188,78,634.19
189,71,685.42
190,9,888.33
191,39,109.56
192,42,217.37
193,9,694.34
194,22,542.67
195,80,763.96
196,45,397.59
197,56,919.0
198,21,609.14
199,70,703.83
200,16,786.44
201,83,922.45
202,83,754.72
203,28,678.91
204,91,159.53
205,93,948.76
206,1,684.69
207,73,399.93
208,54,274.99
209,58,560.25
210,92,620.66
211,41,365.12
212,82,159.99
213,46,978.39
214,31,107.97
215,37,542.48
216,48,422.31
217,72,894.2
218,38,115.45
219,67,102.82
220,60,933.29
221,98,151.61
222,53,547.91
223,78,261.4
224,39,311.13
225,27,398.38
226,36,432.61
227,46,383.81
228,50,197.51
229,58,413.99
230,6,514.84
231,74,396.47
232,33,102.59
233,64,969.49
234,80,858.16
235,37,588.93
236,79,598.76
237,93,868.34
238,46,754.09
239,96,394.31
240,23,608.82
241,65,199.51
242,19,981.09
243,70,723.64
244,22,854.67
245,94,136.02
246,86,473.1
247,87,947.8
248,54,612.38
249,56,114.3
250,12,784.11
251,46,292.96
252,51,596.97
253,33,737.79
254,64,888.23
255,97,471.78
256,80,623.65
257,88,237.93
258,59,522.64
259,83,515.53
260,94,907.13
261,46,223.76
262,29,166.56
263,28,790.83
264,12,634.04
265,66,890.92
266,64,252.2
267,37,102.58
268,75,418.59
269,54,531.3
270,35,782.45
271,49,830.19
272,74,862.78
273,33,822.03
274,80,189.34
275,21,759.42
276,7,383.33
277,92,199.33
278,19,193.35
279,28,632.72
280,75,906.41
281,56,709.98
282,79,484.76
283,3,131.33
284,47,258.83
285,45,440.46
286,4,535.84
287,99,418.94
288,33,244.79
289,67,330.78
290,34,837.84
291,22,863.41
292,10,802.87
293,12,723.83
294,40,829.49
295,12,908.58
296,9,372.88
297,64,257.68
298,87,293.7
299,80,593.69
300,24,204.58
301,32,437.24
302,6,711.69
303,32,747.61
304,13,267.59
305,27,789.43
306,23,181.1
307,52,559.11
308,78,801.43
309,36,557.04
310,58,179.59
311,63,838.32
312,89,290.22
313,61,884.85
314,98,260.97
315,62,729.31
316,77,377.85
317,39,225.25
318,29,364.88
319,31,992.48
320,23,257.82
321,42,158.45
322,20,965.72
323,91,647.62
324,68,195.73
325,87,236.86
326,12,215.29
327,20,885.77
328,65,360.45
329,52,789.46
330,42,862.12
331,39,165.53
332,45,875.33
333,12,760.02
334,70,669.99
335,81,100.35
336,18,488.06
337,52,306.03
338,2,188.17
339,51,856.56
340,21,706.86
341,78,199.87
342,46,552.28
343,27,641.27
344,54,240.0
345,61,360.36
346,62,810.55
347,51,818.25
348,43,994.59
349,11,475.93
350,47,331.36
351,10,876.82
352,58,577.23
353,92,373.07
354,97,231.84
355,66,193.16
356,81,606.08
357,52,699.05
358,70,917.83
359,9,646.43
360,62,953.28
361,38,455.21
362,28,613.36
363,99,886.61
364,42,309.92
365,13,506.32
366,70,266.9
367,40,117.62
368,93,554.25
369,76,203.21
370,45,193.7
371,89,182.15
372,19,150.51
373,52,341.42
374,25,681.6
375,63,364.94
376,49,571.69
377,61,467.91
378,77,709.48
379,36,110.01
380,2,134.63
381,67,711.56
382,73,549.96
383,15,662.36
384,44,858.57
385,1,840.88
386,72,998.55
387,76,925.34
388,73,129.62
389,13,329.22
390,80,190.57
391,54,490.42
392,100,847.88
393,68,703.07
394,95,883.48
395,66,930.01
396,67,881.02
397,15,260.99
398,3,571.88
399,37,555.72
400,91,212.23
401,36,577.56
402,15,475.86
403,70,402.76
404,9,869.53
405,13,880.92
406,85,617.94
407,96,840.77
408,96,910.76
409,63,235.4
410,41,160.32
411,24,577.0
412,55,696.94
413,65,924.07
414,27,652.8
415,18,334.68
416,78,153.12
417,1,693.52
418,38,166.2
419,74,576.18
420,59,585.86
421,83,409.86
422,1,419.68
423,74,592.52
424,16,147.64
425,56,990.76
426,86,787.35
427,93,137.39
428,24,625.54
429,9,811.18
430,30,304.79
431,45,399.23
432,18,227.48
433,74,324.15
434,15,651.11
435,90,111.74
436,90,709.72
437,58,459.46
438,12,948.74
439,11,762.44
440,55,652.44
441,64,404.45
442,78,164.46
443,90,758.29
444,28,757.86
445,42,558.73
446,63,912.6
447,15,114.71
448,68,807.48
449,73,445.72
450,71,730.84
451,46,514.49
452,25,229.07
453,7,630.89
454,23,324.63
455,87,224.19
456,13,405.27
457,17,149.12
458,43,809.03
459,80,137.02
460,56,962.49
461,6,697.4
462,21,426.28
463,14,452.42
464,76,944.05
465,81,298.08
466,68,972.66
467,18,649.12
468,37,259.42
469,100,966.85
470,88,376.29
471,54,148.19
472,67,916.28
473,15,593.18
474,27,374.44
475,20,433.08
476,58,664.18
477,67,416.1
478,70,321.27
479,12,517.32
480,6,908.41
481,19,619.64
482,2,546.43
483,78,700.87
484,38,916.63
485,53,454.75
486,36,410.54
487,18,639.99
488,88,961.9
489,66,194.03
490,4,519.54
491,61,658.13
492,85,261.06
493,24,125.86
494,72,778.14
495,24,145.22
496,34,775.57
497,57,767.36
498,58,263.45
499,56,367.58
500,34,229.79
501,42,679.5
502,4,240.45
503,91,110.03
504,66,667.48
505,73,512.86
506,63,389.12
507,34,866.12
508,28,145.43
509,8,611.9
510,63,156.33
511,8,563.0
512,51,348.65
513,10,817.03
514,68,429.14
515,35,533.07
516,2,337.24
517,41,822.22
518,32,663.43
519,93,642.65
520,24,651.6
521,89,188.1
522,66,127.97
523,100,699.23
524,68,788.48
525,72,373.2
526,64,980.98
527,84,340.05
528,15,974.27
529,48,539.83
530,83,643.77
531,16,809.21
532,39,105.05
533,78,549.67
534,90,934.42
535,2,609.62
536,97,970.29
537,23,144.44
538,92,271.0
539,39,423.38
540,52,881.87
541,85,152.05
542,77,512.98
543,95,820.96
544,47,282.87
545,51,480.51
546,13,870.38
547,12,383.53
548,42,495.16
549,60,605.39
550,57,376.79
551,59,455.11
552,12,239.27
553,7,897.63
554,97,967.24
555,91,422.67
556,21,731.37
557,40,301.59
558,35,844.51
559,60,793.09
560,52,808.48
561,7,633.49
562,36,419.42
563,20,853.29
564,24,672.0
565,69,851.04
566,15,313.72
567,32,895.95
568,68,254.22
569,71,619.59
570,34,643.02
571,21,100.29
572,57,457.64
573,16,953.53
574,22,404.82
575,91,599.9
576,90,770.58
577,33,496.94
578,17,814.63
579,74,121.1
580,29,822.8
581,8,709.85
582,40,328.85
583,70,773.0
584,64,998.75
585,27,203.37
586,13,509.69
587,86,800.71
588,16,250.23
589,91,788.94
590,66,306.45
591,45,845.96
592,66,495.81
593,23,370.65
594,24,432.34
595,99,457.67
596,77,995.17
597,54,533.93
598,41,622.17
599,40,989.79
600,54,594.86
601,29,247.6
602,79,768.96
603,61,952.2
604,52,995.22
605,22,161.36
606,55,967.03
607,41,284.74
608,67,823.68
609,57,810.57
610,79,261.85
611,81,905.26
612,97,707.82
613,71,173.53
614,84,313.24
615,70,664.06
616,63,939.61
617,28,873.49
618,86,846.24
619,31,245.28
620,85,337.72
621,51,299.18
622,13,195.94
623,21,431.51
624,1,277.19
625,33,446.0
626,96,341.73
627,6,719.72
628,87,238.65
629,51,798.48
630,57,360.96
631,80,329.82
632,92,217.16
633,17,984.62
634,67,245.24
635,68,948.7
636,89,771.6
637,5,625.42
638,32,461.12
639,56,939.11
640,31,356.36
641,62,330.92
642,78,129.35
643,3,109.91
644,42,827.46
645,14,794.79
646,91,624.13
647,35,301.92
648,34,141.38
649,8,994.26
650,69,159.23
651,90,521.06
652,90,254.51
653,27,445.92
654,91,266.24
655,66,347.67
656,98,938.58
657,14,825.27
658,82,874.17
659,33,519.69
660,36,342.99
661,89,822.95
662,42,296.26
663,83,993.92
664,87,196.87
665,5,316.8
666,48,850.42
667,58,135.93
668,73,462.14
669,66,297.9
670,49,247.89
671,5,490.3
672,74,315.52
673,1,737.27
674,83,658.46
675,77,580.65
676,25,175.35
677,77,408.58
678,36,321.34
679,97,988.37
680,68,290.97
681,69,473.77
682,75,160.05
683,72,779.77
684,55,767.59
685,22,510.4
686,10,302.01
687,52,839.37
688,85,398.24
689,58,790.81
690,4,461.37
691,44,858.12
692,25,828.23
693,87,935.8
694,56,276.64
695,88,275.79
696,65,669.23
697,72,516.78
698,95,732.25
699,63,119.08
700,81,553.07
701,69,156.66
702,53,784.23
703,47,484.72
704,63,190.74
705,14,816.76
706,57,177.14
707,65,148.36
708,5,765.67
709,85,228.91
