ItemID,Weight,Value
1,98,446.99
2,61,468.49
3,26,276.38
4,51,972.36
5,55,498.4
6,58,132.47
7,68,393.39
8,31,544.84
9,79,779.19
10,83,570.67
11,52,394.1
12,17,483.14
13,96,743.72
14,91,691.26
15,67,323.71
16,33,502.24
17,64,343.82
18,6,937.06
19,23,882.28
20,99,189.87
21,49,334.64
22,23,291.69
23,26,212.3
24,17,890.65
25,89,811.89
26,26,492.15
27,31,377.34
28,84,415.63
29,39,362.85
30,59,997.8
31,32,977.56
32,99,151.65
33,25,813.34
34,51,569.02
35,74,411.57
36,53,242.24
37,72,890.6
38,45,199.97
39,26,628.53
40,2,172.82
41,86,972.73
42,50,613.17
43,41,194.53
44,95,251.98
45,77,709.65
46,92,372.05
47,84,686.03
48,17,603.64
49,86,601.35
50,18,495.74
51,2,254.73
52,93,684.96
53,60,772.69
54,18,123.73
55,13,268.97
56,21,673.35
57,8,824.61
58,12,546.67
59,1,430.36
60,67,713.16
61,12,285.44
62,60,965.63
63,70,328.7
64,55,549.63
65,84,310.82
66,86,969.38
67,78,255.51
68,29,508.5
69,80,810.34
70,11,598.54
71,3,138.11
72,8,682.35
73,65,664.84
74,89,635.59
75,83,437.67
76,51,607.9
77,63,946.34
78,40,237.49
79,25,190.07
80,71,583.58
81,100,605.32
82,64,446.06
83,72,207.12
84,32,671.74
85,39,695.13
86,71,856.7
87,79,729.89
88,36,825.99
89,48,644.92
90,80,518.59
91,7,969.65
92,97,597.05
93,61,405.9
94,31,764.86
95,75,293.57
96,11,940.58
97,88,331.14
98,25,831.52
99,39,276.65
100,57,118.47
101,6,722.57
102,37,403.49
103,18,966.69
104,19,756.66
105,51,112.91
106,5,370.87
107,99,725.52
108,41,225.53
109,10,447.79
110,85,614.67
111,47,960.58
112,17,947.68
113,34,598.13
114,42,255.66
115,25,334.63
116,97,703.84
117,28,471.26
118,91,881.27
119,58,928.42
120,95,313.55
121,26,865.33
122,81,566.56
123,58,739.05
124,27,589.25
125,45,403.06
126,28,933.74
127,68,702.97
128,78,311.98
129,40,280.38
130,80,359.96
131,58,633.54
132,100,442.84
133,56,845.86
