ItemID,Weight,Value
1,65,693.12
2,78,868.13
3,29,767.91
4,4,706.37
5,45,237.08
6,63,863.8
7,8,383.09
8,17,262.9
9,42,612.9
10,59,281.94
11,51,838.5
12,70,234.69
13,14,404.47
14,66,809.93
15,89,191.21
16,98,862.59
17,86,329.38
18,84,780.07
19,50,362.76
20,47,636.95
21,48,666.5
22,48,745.58
23,56,805.61
24,48,867.71
25,98,771.5
26,86,305.47
27,32,560.7
28,66,354.92
29,65,626.76
30,43,922.03
31,64,278.77
32,83,914.15
33,3,627.76
34,90,686.53
35,46,195.81
36,41,982.76
37,70,174.24
38,85,953.38
39,83,961.75
40,87,595.88
41,81,879.44
42,9,355.79
43,47,120.97
44,30,558.63
45,83,445.74
46,51,893.14
47,96,680.02
48,1,189.71
49,89,850.14
50,56,166.16
51,39,286.41
52,60,526.39
53,20,360.92
54,20,637.35
55,51,468.12
56,15,308.46
57,74,396.44
58,71,272.93
59,16,262.67
60,88,255.77
61,37,559.51
62,31,287.63
63,9,246.17
64,91,146.28
65,26,397.84
66,14,658.92
67,79,195.67
68,37,998.12
69,20,867.64
70,47,624.15
71,84,296.47
72,44,990.78
73,92,701.89
74,75,190.7
75,90,791.12
76,39,609.36
77,57,903.01
78,74,494.1
79,48,563.97
80,6,951.33
81,100,945.77
82,26,134.36
83,8,612.89
84,43,544.52
85,2,303.95
86,4,195.48
87,16,164.48
88,14,761.03
89,79,248.32
90,7,863.5
91,71,977.86
92,37,627.34
93,81,571.98
94,85,197.34
95,18,763.98
96,40,740.68
97,78,570.27
98,33,904.44
99,9,719.32
100,51,200.78
101,22,836.7
102,53,770.18
103,53,941.44
104,84,477.11
105,84,784.23
106,90,129.55
107,88,697.72
108,26,679.0
109,61,821.86
110,22,473.42
111,41,796.24
112,19,993.48
113,92,758.41
114,79,405.7
115,1,116.76
116,61,613.9
117,62,935.83
118,34,333.82
119,58,718.93
120,98,224.27
121,67,174.05
122,31,926.75
123,39,852.16
124,48,943.31
125,16,807.29
126,2,338.27
127,61,655.3
128,46,594.15
129,7,778.53
130,47,450.52
131,86,455.71
132,72,574.81
133,10,664.59
134,19,986.84
135,95,759.51
136,2,356.04
137,17,511.16
138,95,345.24
139,48,161.42
140,77,949.23
141,60,823.49
142,19,207.34
143,53,950.38
144,69,146.59
145,5,782.45
146,71,684.52
147,57,446.34
148,33,372.94
149,30,354.44
150,76,174.75
151,90,527.67
152,42,293.95
153,30,833.96
154,17,796.65
155,78,188.28
156,40,438.85
157,53,699.89
158,54,869.45
159,68,148.11
160,61,968.45
161,92,993.92
162,89,449.24
163,97,166.01
164,27,888.12
165,43,786.53
166,44,492.55
167,44,104.47
168,91,128.86
169,43,705.7
170,37,438.38
171,53,384.04
172,84,301.16
173,99,827.55
174,1,665.83
175,10,834.77
176,32,591.78
177,31,477.03
178,37,174.63
179,82,157.04
180,94,693.3
181,62,486.02
182,88,459.9
183,100,318.19
184,22,542.42
185,77,153.85
186,45,947.3
187,44,326.29
188,6,575.73
189,36,240.17
190,31,219.68
191,92,884.29
192,83,398.86
193,40,734.52
194,68,860.42
195,87,420.84
196,27,483.11
197,10,540.6
198,29,480.21
199,57,275.58
200,96,122.89
201,39,854.05
202,77,902.23
203,48,955.32
204,23,202.29
205,76,293.74
206,88,687.09
207,90,926.21
208,20,670.12
209,97,676.97
210,95,562.0
211,77,162.69
212,22,253.81
213,59,638.89
214,26,971.54
215,94,980.1
216,70,691.06
217,69,522.92
218,83,635.69
219,93,689.07
220,13,911.08
